Date,Air_temp,Sea_temp,Wind_speed,Air_sea_temp,MM,Air_temp_f,Sea_temp_f
1985-04-04,NA,0.5,2,NA,4,1.3089056740607692,0.5
1985-04-05,1.5,NA,5,NA,4,1.5,0.5316111096949045
1985-04-06,1.6,NA,16,NA,4,1.6000000000000005,0.5405074185069232
1985-04-07,0.8,NA,6,NA,4,0.7999999999999998,0.5789386269267407
1985-04-08,-1.4,NA,9,NA,4,-1.3999999999999995,0.6189698930844516
1985-04-09,-3.8,NA,7,NA,4,-3.8,0.5690549758680339
1985-04-10,-0.5,NA,10,NA,4,-0.5,0.6621975794033581
1985-04-11,1.5,NA,5,NA,4,1.5,0.7966859440766054
1985-04-12,0.5,NA,4,NA,4,0.5,0.739348597139192
1985-04-13,1.9,NA,7,NA,4,1.9000000000000004,0.7703116561814589
1985-04-14,NA,NA,NA,NA,4,3.2922647189992675,0.8088064848787297
1985-04-15,4.4,NA,4,NA,4,4.400000000000001,0.9125893123944406
1985-04-16,2.4,NA,5,NA,4,2.3999999999999995,0.9682982100581583
1985-04-17,-0.7,NA,3,NA,4,-0.7000000000000002,0.9889567923688833
1985-04-18,3.6,NA,8,NA,4,3.6000000000000005,1.0269352757904144
1985-04-19,3.2,NA,6,NA,4,3.2,1.1117849904072123
1985-04-20,4.6,NA,4,NA,4,4.6,1.1559634197894395
1985-04-21,5.9,NA,4,NA,4,5.900000000000001,1.2108410076914478
1985-04-22,5.4,NA,2,NA,4,5.4,1.2631585640675187
1985-04-23,6.2,NA,5,NA,4,6.200000000000001,1.264721194353692
1985-04-24,5.8,1.3,5,4,4,5.8,1.2999999999999998
1985-04-25,5,1.5,3,4,4,5.000000000000001,1.5
1985-04-26,2.8,1.6,3,1,4,2.8,1.6000000000000005
1985-04-27,1.6,1.5,5,0,4,1.5999999999999996,1.5
1985-04-28,2.3,1.6,2,1,4,2.3,1.5999999999999996
1985-04-29,3.5,1.6,1,2,4,3.5,1.6000000000000005
1985-04-30,4.6,1.9,3,3,4,4.6,1.8999999999999995
1985-05-01,3.9,1.6,8,2,5,3.9,1.6000000000000005
1985-05-02,3.9,1.9,3,2,5,3.8999999999999995,1.9000000000000004
1985-05-03,3.9,2,2,2,5,3.9000000000000004,2
1985-05-04,4.2,1.9,0,2,5,4.2,1.8999999999999995
1985-05-05,5.5,1.9,6,4,5,5.5,1.8999999999999995
1985-05-06,2.7,1.9,2,1,5,2.7000000000000006,1.8999999999999995
1985-05-07,3.7,1.9,4,2,5,3.6999999999999997,1.8999999999999995
1985-05-08,2.8,1.9,2,1,5,2.8,1.9000000000000004
1985-05-09,5,2,10,3,5,5,2
1985-05-10,7.8,2.3,5,6,5,7.800000000000001,2.3
1985-05-11,5.9,2.7,3,3,5,5.9,2.7
1985-05-12,6.4,2.4,6,4,5,6.4,2.3999999999999995
1985-05-13,7.1,2.7,4,4,5,7.099999999999999,2.7
1985-05-14,5.8,3.1,0,3,5,5.8,3.0999999999999996
1985-05-15,6.3,2.7,0,4,5,6.299999999999999,2.6999999999999993
1985-05-16,5.8,3.1,3,3,5,5.799999999999999,3.0999999999999996
1985-05-17,4.2,2.8,7,1,5,4.200000000000001,2.799999999999999
1985-05-18,4.3,2.7,8,2,5,4.3,2.700000000000001
1985-05-19,4.7,2.8,5,2,5,4.7,2.8
1985-05-20,8.2,3.1,4,5,5,8.2,3.1000000000000005
1985-05-21,4.7,3.2,4,2,5,4.7,3.200000000000001
1985-05-22,5.6,2.8,0,3,5,5.6,2.8
1985-05-23,5.5,2.8,1,3,5,5.5,2.8
1985-05-24,6.7,3.3,4,3,5,6.699999999999999,3.3
1985-05-25,8.7,3.1,1,6,5,8.7,3.0999999999999996
1985-05-26,5.4,3.9,2,2,5,5.4,3.8999999999999995
1985-05-27,5,3.2,4,2,5,5,3.200000000000001
1985-05-28,5.5,3.6,8,2,5,5.5,3.6000000000000005
1985-05-29,5.3,3.6,1,2,5,5.299999999999999,3.6000000000000005
1985-05-30,6.7,3.6,8,3,5,6.7,3.5999999999999996
1985-05-31,9.2,3.9,8,5,5,9.2,3.9000000000000004
1985-06-01,7.4,3.9,8,4,6,7.4,3.8999999999999995
1985-06-02,7.1,4,6,3,6,7.1,3.999999999999999
1985-06-03,5.9,4.3,4,2,6,5.9,4.3
1985-06-04,5.9,4.3,0,2,6,5.9,4.299999999999999
1985-06-05,6.7,5.3,0,1,6,6.7,5.299999999999999
1985-06-06,5.9,5,3,1,6,5.9,5
1985-06-07,7.3,5.8,1,2,6,7.3,5.799999999999999
1985-06-08,8.6,5.1,3,4,6,8.6,5.1
1985-06-09,10.1,6.2,4,4,6,10.1,6.200000000000001
1985-06-10,9,6.3,4,3,6,9,6.300000000000001
1985-06-11,6.6,5.9,4,1,6,6.6,5.9
1985-06-12,6.6,6.2,7,0,6,6.6,6.200000000000001
1985-06-13,6.7,5.8,4,1,6,6.7,5.799999999999999
1985-06-14,7.7,4.8,2,3,6,7.7,4.8
1985-06-15,8.7,6.3,3,2,6,8.7,6.300000000000001
1985-06-16,8.1,7,4,1,6,8.1,7
1985-06-17,8.5,6.3,4,2,6,8.5,6.299999999999999
1985-06-18,10.3,5.9,9,4,6,10.3,5.9
1985-06-19,8.6,5.9,4,3,6,8.6,5.9
1985-06-20,9.3,6.3,3,3,6,9.3,6.3
1985-06-21,10.4,8.6,3,2,6,10.4,8.6
1985-06-22,12.8,8.5,10,4,6,12.8,8.5
1985-06-23,14.4,8.2,9,6,6,14.400000000000002,8.2
1985-06-24,10,7.8,3,2,6,10,7.8
1985-06-25,9.6,8.2,3,1,6,9.6,8.2
1985-06-26,9.8,9,3,1,6,9.8,9
1985-06-27,11.7,10.1,3,2,6,11.7,10.1
1985-06-28,11.7,10.5,1,1,6,11.7,10.5
1985-06-29,12.3,9.3,5,3,6,12.3,9.3
1985-06-30,13.2,11,0,2,6,13.2,11
1985-07-01,13.6,11.8,3,2,7,13.6,11.8
1985-07-02,14.3,12.1,3,2,7,14.3,12.1
1985-07-03,14.8,12.8,3,2,7,14.8,12.8
1985-07-04,15.6,12.6,2,3,7,15.6,12.6
1985-07-05,16.2,12,6,4,7,16.2,12
1985-07-06,14.8,13.3,3,2,7,14.8,13.3
1985-07-07,12.7,12.1,6,1,7,12.7,12.1
1985-07-08,14,12.9,2,1,7,14,12.9
1985-07-09,15.1,13.7,2,1,7,15.1,13.7
1985-07-10,14.4,13.6,4,1,7,14.4,13.6
1985-07-11,14.3,13.6,3,1,7,14.3,13.6
1985-07-12,15.3,14,1,1,7,15.3,14
1985-07-13,16.5,14.4,4,2,7,16.5,14.400000000000002
1985-07-14,18.2,14.9,3,3,7,18.2,14.899999999999999
1985-07-15,16.8,15.2,4,2,7,16.8,15.2
1985-07-16,15,15.6,4,-1,7,15,15.599999999999998
1985-07-17,16,16,1,0,7,16,16
1985-07-18,17.5,16.4,3,1,7,17.5,16.4
1985-07-19,19.4,16.7,5,3,7,19.4,16.7
1985-07-20,17.2,16.4,2,1,7,17.2,16.4
1985-07-21,19.2,17.3,5,2,7,19.2,17.3
1985-07-22,14.8,16.3,8,-2,7,14.8,16.3
1985-07-23,14.9,16.1,2,-1,7,14.9,16.1
1985-07-24,17.3,16.4,5,1,7,17.3,16.4
1985-07-25,19.5,16.3,7,3,7,19.5,16.3
1985-07-26,15.9,16.5,7,-1,7,15.9,16.5
1985-07-27,15.7,16.4,4,-1,7,15.7,16.4
