Date,Air_temp,Sea_temp,Wind_speed,Air_sea_temp,MM,Air_temp_f,Sea_temp_f
2005-10-11,8.1,NA,5.9,NA,10,8.1,9.353116460832172
2005-10-12,5,9.3,11.2,-4,10,5,9.3
2005-10-13,6.8,9.1,7.6,-2,10,6.8,9.1
2005-10-14,7.8,9.3,8.1,-2,10,7.8,9.3
2005-10-15,8.2,9.4,14.3,-1,10,8.2,9.4
2005-10-16,8.2,9.1,6.4,-1,10,8.2,9.1
2005-10-17,8.4,8.9,10.4,0,10,8.4,8.9
2005-10-18,6.7,9.6,13.7,-3,10,6.7,9.6
2005-10-19,8,9.5,8.3,-2,10,8,9.5
2005-10-20,9.1,9.2,13.5,0,10,9.1,9.2
2005-10-21,8.4,8.9,13.1,0,10,8.4,8.9
2005-10-22,5.1,9.3,9.5,-4,10,5.1,9.3
2005-10-23,4.6,8.5,10.1,-4,10,4.6,8.5
2005-10-24,4.8,8.6,4.2,-4,10,4.8,8.6
2005-10-25,5.3,8.4,6.3,-3,10,5.3,8.4
2005-10-26,4.4,8.2,4.9,-4,10,4.4,8.2
2005-10-27,4.7,7.9,2.4,-3,10,4.7,7.9
2005-10-28,3.8,8.5,6.5,-5,10,3.8,8.5
2005-10-29,4,8.8,7.6,-5,10,4,8.8
2005-10-30,4.2,8.8,6.1,-5,10,4.2,8.8
2005-10-31,2.7,7.9,5.5,-5,10,2.7,7.9
2005-11-01,3.8,8.1,5.5,-4,11,3.8,8.1
2005-11-02,4.5,7.8,7.2,-3,11,4.5,7.8
2005-11-03,4.8,7.8,6.4,-3,11,4.800000000000001,7.8
2005-11-04,2.1,7.8,13.2,-6,11,2.1,7.8
2005-11-05,1.2,7.4,8.5,-6,11,1.1999999999999997,7.4
2005-11-06,3.2,7.4,13.4,-4,11,3.2000000000000006,7.4
2005-11-07,0.6,7.4,4.2,-7,11,0.6000000000000001,7.4
2005-11-08,-0.9,6.9,14.1,-8,11,-0.9000000000000004,6.9
2005-11-09,-0.1,6.7,6.9,-7,11,-0.10000000000000012,6.7
2005-11-10,0.3,6.6,7.2,-6,11,0.3000000000000004,6.6
2005-11-11,-0.8,5.9,4.5,-7,11,-0.7999999999999997,5.9
2005-11-12,0,6,1.8,-6,11,2.220446049250313e-16,6
2005-11-13,3.5,6.4,4.8,-3,11,3.5,6.4
2005-11-14,3.2,6.8,13.8,-4,11,3.2,6.8
2005-11-15,3.7,7,13.6,-3,11,3.7,7
2005-11-16,3,5.9,13.2,-3,11,2.9999999999999996,5.9
2005-11-17,6.2,7.3,6.3,-1,11,6.200000000000001,7.3
2005-11-18,4.9,6.7,13.7,-2,11,4.9,6.7
2005-11-19,-0.3,6.7,12.4,-7,11,-0.2999999999999998,6.7
2005-11-20,-0.1,6.9,7.2,-7,11,-0.10000000000000009,6.9
2005-11-21,-0.2,6.5,1.7,-7,11,-0.20000000000000018,6.5
2005-11-22,-2.7,6.8,5.7,-10,11,-2.6999999999999997,6.8
2005-11-23,-4,6.5,9.1,-10,11,-4,6.5
2005-11-24,-4.9,6.2,6.5,-11,11,-4.9,6.2
2005-11-25,-8.4,6.7,3.6,-15,11,-8.4,6.7
2005-11-26,-6.3,6.6,6.7,-13,11,-6.300000000000001,6.6
2005-11-27,-1,6.1,3.4,-7,11,-1,6.1
2005-11-28,-0.2,6,2,-6,11,-0.19999999999999973,6
2005-11-29,4.1,6.4,10.7,-2,11,4.1,6.4
2005-11-30,3.5,6.6,9.5,-3,11,3.5,6.6
2005-12-01,0.4,6.1,5.3,-6,12,0.3999999999999999,6.1
2005-12-02,-1.1,4.1,9.5,-5,12,-1.0999999999999996,4.1
2005-12-03,-6,5,9.1,-11,12,-5.999999999999999,5
2005-12-04,-3.3,4.9,5,-8,12,-3.2999999999999994,4.9
2005-12-05,2.8,5,16.2,-2,12,2.8,5
2005-12-06,5.8,5.3,11.9,0,12,5.8,5.300000000000001
2005-12-07,5.9,6.2,14.4,0,12,5.9,6.199999999999999
2005-12-08,6.3,5.3,12.1,1,12,6.300000000000001,5.3
2005-12-09,5.8,5.8,3.8,0,12,5.8,5.8
2005-12-10,5.6,6.2,6.3,-1,12,5.6,6.199999999999999
2005-12-11,3.9,6.1,6,-2,12,3.8999999999999995,6.1
2005-12-12,0,5.9,14.8,-6,12,0,5.9
2005-12-13,3,5.4,6.9,-2,12,3,5.4
2005-12-14,5.5,5.8,15.2,0,12,5.5,5.8
2005-12-15,6.2,6.3,12.8,0,12,6.200000000000001,6.3
2005-12-16,6.7,6.5,5,0,12,6.700000000000001,6.5
2005-12-17,4.3,6.2,4.5,-2,12,4.3,6.200000000000001
2005-12-18,5.3,6.3,12.3,-1,12,5.3,6.3
2005-12-19,6.5,5.7,13.3,1,12,6.5,5.7
2005-12-20,5.2,6.6,11,-1,12,5.200000000000001,6.6
2005-12-21,4.5,5.8,3.4,-1,12,4.5,5.8
2005-12-22,3.4,6.5,4.2,-3,12,3.4000000000000004,6.500000000000001
2005-12-23,3,6.5,2.5,-4,12,3,6.500000000000001
2005-12-24,4.9,6.6,8.8,-2,12,4.9,6.6
2005-12-25,4.7,6.8,12.4,-2,12,4.7,6.799999999999999
2005-12-26,6.1,6.5,8,0,12,6.1,6.5
2005-12-27,6.2,6.7,13.5,0,12,6.2,6.700000000000001
2005-12-28,6.6,6.8,15.3,0,12,6.6,6.8
2005-12-29,4.1,6.5,7.7,-2,12,4.1,6.5
2005-12-30,5.6,6.7,16.5,-1,12,5.6,6.700000000000001
2005-12-31,6.2,6.3,15,0,12,6.2,6.3
2006-01-01,5.4,6.7,9.2,-1,1,5.4,6.7
2006-01-02,5.2,6.4,8.5,-1,1,5.2,6.4
2006-01-03,4.1,6.3,5.9,-2,1,4.1,6.299999999999999
2006-01-04,4.2,6.4,11.4,-2,1,4.2,6.3999999999999995
2006-01-05,3.5,6.3,14.9,-3,1,3.4999999999999996,6.300000000000001
2006-01-06,3.9,6.2,10,-2,1,3.9,6.200000000000001
2006-01-07,4.4,6,10.3,-2,1,4.4,6
2006-01-08,4.8,6.3,16.2,-2,1,4.8,6.300000000000001
