"","Year","Region","Anomaly"
"1",1985,"World",0.11
"2",1986,"World",0.18
"3",1987,"World",0.32
"4",1988,"World",0.38
"5",1989,"World",0.27
"6",1990,"World",0.45
"7",1991,"World",0.4
"8",1992,"World",0.22
"9",1993,"World",0.23
"10",1994,"World",0.31
"11",1995,"World",0.45
"12",1996,"World",0.33
"13",1997,"World",0.47
"14",1998,"World",0.61
"15",1999,"World",0.38
"16",2000,"World",0.39
"17",2001,"World",0.53
"18",2002,"World",0.62
"19",2003,"World",0.62
"20",2004,"World",0.54
"21",2005,"World",0.68
"22",2006,"World",0.64
"23",2007,"World",0.66
"24",2008,"World",0.54
"25",2009,"World",0.65
"26",2010,"World",0.72
"27",2011,"World",0.6
"28",2012,"World",0.64
"29",2013,"World",0.68
"30",2014,"World",0.74
"31",2015,"World",0.9
"32",2016,"World",1.01
"33",2017,"World",0.92
"34",2018,"World",0.85
"35",1985,"Asia",-0.01
"36",1986,"Asia",0.24
"37",1987,"Asia",-0.01
"38",1988,"Asia",0.75
"39",1989,"Asia",0.72
"40",1990,"Asia",0.94
"41",1991,"Asia",0.67
"42",1992,"Asia",0.27
"43",1993,"Asia",0.33
"44",1994,"Asia",0.54
"45",1995,"Asia",1.23
"46",1996,"Asia",0.32
"47",1997,"Asia",0.79
"48",1998,"Asia",0.85
"49",1999,"Asia",0.92
"50",2000,"Asia",0.77
"51",2001,"Asia",0.97
"52",2002,"Asia",1.24
"53",2003,"Asia",1.06
"54",2004,"Asia",1.13
"55",2005,"Asia",1.18
"56",2006,"Asia",0.98
"57",2007,"Asia",1.66
"58",2008,"Asia",1.35
"59",2009,"Asia",0.96
"60",2010,"Asia",1.04
"61",2011,"Asia",1.07
"62",2012,"Asia",0.87
"63",2013,"Asia",1.33
"64",2014,"Asia",1.01
"65",2015,"Asia",1.69
"66",2016,"Asia",1.58
"67",2017,"Asia",1.66
"68",2018,"Asia",1.32
"69",1985,"Africa",-0.01
"70",1986,"Africa",0.24
"71",1987,"Africa",-0.01
"72",1988,"Africa",0.75
"73",1989,"Africa",0.72
"74",1990,"Africa",0.94
"75",1991,"Africa",0.67
"76",1992,"Africa",0.27
"77",1993,"Africa",0.33
"78",1994,"Africa",0.54
"79",1995,"Africa",1.23
"80",1996,"Africa",0.32
"81",1997,"Africa",0.79
"82",1998,"Africa",0.85
"83",1999,"Africa",0.92
"84",2000,"Africa",0.77
"85",2001,"Africa",0.97
"86",2002,"Africa",1.24
"87",2003,"Africa",1.06
"88",2004,"Africa",1.13
"89",2005,"Africa",1.18
"90",2006,"Africa",0.98
"91",2007,"Africa",1.66
"92",2008,"Africa",1.35
"93",2009,"Africa",0.96
"94",2010,"Africa",1.04
"95",2011,"Africa",1.07
"96",2012,"Africa",0.87
"97",2013,"Africa",1.33
"98",2014,"Africa",1.01
"99",2015,"Africa",1.69
"100",2016,"Africa",1.58
"101",2017,"Africa",1.66
"102",2018,"Africa",1.32
"103",1985,"Europe",-0.68
"104",1986,"Europe",-0.12
"105",1987,"Europe",-0.63
"106",1988,"Europe",0.3
"107",1989,"Europe",1.06
"108",1990,"Europe",1.03
"109",1991,"Europe",0.21
"110",1992,"Europe",0.45
"111",1993,"Europe",0.01
"112",1994,"Europe",0.85
"113",1995,"Europe",0.62
"114",1996,"Europe",-0.15
"115",1997,"Europe",0.48
"116",1998,"Europe",0.61
"117",1999,"Europe",1.08
"118",2000,"Europe",1.26
"119",2001,"Europe",0.87
"120",2002,"Europe",1.1
"121",2003,"Europe",0.9
"122",2004,"Europe",0.75
"123",2005,"Europe",0.78
"124",2006,"Europe",1.07
"125",2007,"Europe",1.38
"126",2008,"Europe",1.27
"127",2009,"Europe",1.07
"128",2010,"Europe",0.59
"129",2011,"Europe",1.22
"130",2012,"Europe",0.98
"131",2013,"Europe",1.05
"132",2014,"Europe",1.79
"133",2015,"Europe",1.72
"134",2016,"Europe",1.49
"135",2017,"Europe",1.39
"136",2018,"Europe",1.88
"137",1985,"North America",-0.18
"138",1986,"North America",0.46
"139",1987,"North America",1.13
"140",1988,"North America",0.48
"141",1989,"North America",-0.04
"142",1990,"North America",0.31
"143",1991,"North America",0.55
"144",1992,"North America",0.15
"145",1993,"North America",0.22
"146",1994,"North America",0.4
"147",1995,"North America",0.43
"148",1996,"North America",-0.22
"149",1997,"North America",0.45
"150",1998,"North America",1.55
"151",1999,"North America",1.09
"152",2000,"North America",0.77
"153",2001,"North America",1.19
"154",2002,"North America",0.69
"155",2003,"North America",0.87
"156",2004,"North America",0.51
"157",2005,"North America",1.23
"158",2006,"North America",1.5
"159",2007,"North America",0.83
"160",2008,"North America",0.3
"161",2009,"North America",0.41
"162",2010,"North America",1.45
"163",2011,"North America",0.93
"164",2012,"North America",1.55
"165",2013,"North America",0.54
"166",2014,"North America",0.59
"167",2015,"North America",1.39
"168",2016,"North America",1.93
"169",2017,"North America",1.5
"170",2018,"North America",0.87
"171",1985,"Oceania",0.36
"172",1986,"Oceania",0.41
"173",1987,"Oceania",0.35
"174",1988,"Oceania",0.85
"175",1989,"Oceania",0.23
"176",1990,"Oceania",0.62
"177",1991,"Oceania",0.63
